run_id,train_file,corruption_scheme,n_samples,n_features,d0,k0,k0_ratio,time_limit,mip_gap_target,status_name,solved_to_optimality,objective_value,best_bound,mip_gap,runtime_sec,node_count,selected_features,detected_outliers,estimated_z,selected_coefficients,train_lad_authentic,train_mae_all,train_mse_all,true_features,true_outliers,error_message
21,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,5,20,0.20,300.0,0.0001,OPTIMAL,True,0.5012882588843084,0.5012882588843084,0.0,4.09610390663147,1713.0,"[0,1,2,3,4]","[1,2,3,4,6,18,21,24,42,44,47,65,69,73,75,80,82,83,95,97]",1.0429864945353398,"{""0"":1.000000007869327,""1"":0.9999999913993579,""2"":1.000000006407476,""3"":1.0000000145164476,""4"":1.0000000039873902}",50.12882684795181,1.6679184998984224,10.411496299274942,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
22,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,7,10,0.10,300.0,0.0001,OPTIMAL,True,0.6966554510753404,0.6966554510753404,0.0,2.1507110595703125,391.0,"[0,1,2,3,4,31,44]","[18,24,42,44,47,69,82,83,95,97]",1.0429865337093092,"{""0"":0.9999999469169635,""1"":1.0000000345799538,""2"":1.0000000829108566,""3"":1.0000000273764775,""4"":1.0000000856293505,""31"":-2.709127381761572e-07,""44"":-1.3466021479962126e-07}",69.66554510773041,1.6679182535850887,10.411495767654817,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
23,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,7,15,0.15,300.0,0.0001,OPTIMAL,True,0.5819053240108651,0.5819053240108651,0.0,4.742928981781006,4709.0,"[0,1,2,3,4,21,39]","[2,6,18,21,24,42,44,47,65,69,73,82,83,95,97]",1.042986675954086,"{""0"":0.9999998856538509,""1"":1.0000002643934534,""2"":1.0000002659436948,""3"":0.9999998209225525,""4"":1.0000001515597337,""21"":1.1782932160032633e-07,""39"":0.0}",58.19054089828221,1.667918078783801,10.411494753700847,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
24,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,7,20,0.20,300.0,0.0001,OPTIMAL,True,0.5012881594375393,0.5012881594375393,0.0,19.51335096359253,20079.0,"[0,1,2,3,4,5,38]","[1,2,3,4,6,18,21,24,42,44,47,65,69,73,75,80,82,83,95,97]",1.0429864995235214,"{""0"":0.9999999845083876,""1"":0.9999999716225079,""2"":1.0000000524243369,""3"":0.9999999485364167,""4"":1.0000000346390339,""5"":-3.302674505949725e-08,""38"":-1.7629235145994682e-08}",50.12882101575802,1.6679184334339023,10.411496059746826,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
25,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,9,10,0.10,300.0,0.0001,OPTIMAL,True,0.6966539481668832,0.6966539481668832,0.0,5.0398571491241455,4649.0,"[0,1,2,3,4,15,21,38]","[18,24,42,44,47,69,82,83,95,97]",1.0429873137857248,"{""0"":0.9999990591566257,""1"":1.0000011759054765,""2"":1.0000010677397408,""3"":0.9999995883214814,""4"":1.000001189632435,""15"":1.1328163501738736e-06,""21"":7.990422613340223e-07,""38"":-4.712262284199245e-07}",69.66539701047832,1.6679167554106757,10.411493319095138,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
26,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,9,15,0.15,300.0,0.0001,OPTIMAL,True,0.5819053885194485,0.5819053885194485,0.0,12.107553005218506,5404.0,"[0,1,2,3,4,16,22,27,31]","[2,6,18,21,24,42,44,47,65,69,73,82,83,95,97]",1.0429864257991617,"{""0"":0.9999999520555239,""1"":1.0000000380011518,""2"":1.0000004580617794,""3"":0.9999998990628145,""4"":1.0000000852659856,""16"":-6.151270830097592e-08,""22"":-7.362419905359358e-08,""27"":-1.0350215176431505e-07,""31"":-4.765011362503568e-07}",58.190539109592265,1.6679180283448942,10.41149402548646,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
27,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,9,20,0.20,300.0,0.0001,OPTIMAL,True,0.5012877004358387,0.5012877004358387,0.0,60.87116599082947,82710.0,"[0,1,2,3,4,28,31,44]","[1,2,3,4,6,18,21,24,42,44,47,65,69,73,75,80,82,83,95,97]",1.0429867016183691,"{""0"":0.999999824007883,""1"":1.0000005352968229,""2"":1.0000004953497748,""3"":0.9999998874257259,""4"":1.0000002256229525,""28"":-5.310959417025347e-07,""31"":-8.842742502247947e-07,""44"":-3.4380707164440824e-07}",50.12877332348486,1.6679177885381273,10.41149356894369,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
28,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,5,15,0.10,300.0,0.0001,OPTIMAL,True,0.7505876686614599,0.7505876686614599,0.0,0.3652470111846924,1.0,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,87,107]",-2.468489653287486,"{""0"":1.0000000015196855,""1"":0.9999999986363651,""2"":1.0000000020871005,""3"":0.9999999949938343,""4"":0.999999995493309}",112.58815113621765,1.768602517037015,11.760090311236645,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
29,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,5,23,0.15,300.0,0.0001,OPTIMAL,True,0.5902175971658217,0.5902175971658217,0.0,0.40677690505981445,1.0,"[0,1,2,3,4]","[3,8,10,12,15,18,19,33,39,44,45,49,50,65,69,70,72,74,77,85,87,107,131]",-2.4684896454014362,"{""0"":1.0000000018293578,""1"":1.0,""2"":1.0000000002343683,""3"":1.0000000012080204,""4"":0.9999999975086349}",88.5326399849799,1.768602516007622,11.760090334972041,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
30,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,5,30,0.20,300.0,0.0001,OPTIMAL,True,0.5070475466000097,0.5070475466000097,0.0,0.3961219787597656,1.0,"[0,1,2,3,4]","[3,8,10,12,15,18,19,21,23,33,39,44,45,49,50,59,62,65,69,70,72,74,77,83,85,87,106,107,130,131]",-2.468489645748357,"{""0"":1.0000000013032115,""1"":0.9999999992606692,""2"":1.0000000017521309,""3"":1.0000000015186195,""4"":1.0000000016354873}",76.05713220526533,1.7686025159887804,11.760090355230203,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
