run_id,formulation,train_file,corruption_scheme,n_samples,n_features,d0,k0,k0_ratio,time_limit,mip_gap_target,status_name,solved_to_optimality,objective_value,best_bound,mip_gap,runtime_sec,node_count,selected_features,detected_outliers,estimated_z,selected_coefficients,train_lad_authentic,train_mae_all,train_mse_all,true_features,true_outliers,error_message
21,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,5,20,0.20,300.0,0.0001,OPTIMAL,True,0.4982406613244059,0.4982406613244059,0.0,2.096163034439087,3088.0,"[0,1,2,3,4]","[1,2,3,6,18,21,24,42,44,46,47,65,69,73,75,80,82,83,95,97]",1.0505167567330647,"{""0"":0.998809983098917,""1"":0.9984744011963615,""2"":1.0155871468469562,""3"":0.9990340107178515,""4"":0.9986796045068874}",49.82406613244015,1.6647888499234988,10.410271436327855,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
22,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,7,10,0.10,300.0,0.0001,OPTIMAL,True,0.6841850452039857,0.6841850452039857,0.0,2.7109198570251465,3651.0,"[0,1,2,3,4,33,43]","[18,24,42,44,47,69,82,83,95,97]",1.0539451655911924,"{""0"":1.00736124063253,""1"":0.9966185353046644,""2"":1.013590844732875,""3"":1.0052311918743153,""4"":0.992424937140751,""33"":0.019212335515269102,""43"":-0.024030982178612027}",68.41850452039697,1.6552279098595226,10.39663953466004,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
23,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,7,15,0.15,300.0,0.0001,OPTIMAL,True,0.5683968752249022,0.5683968752249022,0.0,7.579649925231934,11373.0,"[0,1,2,3,4,33,43]","[2,6,18,21,24,42,44,47,65,69,73,82,83,95,97]",1.0538836530916096,"{""0"":1.0057905977272372,""1"":0.9940492210401314,""2"":1.016120681503812,""3"":1.0181770044249554,""4"":0.9982194572702364,""33"":0.01950299188601878,""43"":-0.026053480215846435}",56.83968752248907,1.6545322179748652,10.405812835461175,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
24,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,7,20,0.20,300.0,0.0001,OPTIMAL,True,0.48805085193953346,0.4880508519394944,0.0,73.03516006469727,116095.0,"[0,1,2,3,4,33,43]","[1,2,3,4,6,18,21,24,42,44,47,65,69,73,75,80,82,83,95,97]",1.0547319925834433,"{""0"":1.0028249827853561,""1"":0.9927173453182824,""2"":1.0159919149491343,""3"":1.0248850017821545,""4"":0.99793820157509,""33"":0.017396257676911765,""43"":-0.027794781294198097}",48.80508519395263,1.6550872349702621,10.416475520110373,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
25,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,9,10,0.10,300.0,0.0001,OPTIMAL,True,0.6777573241666914,0.6777573241666914,0.0,9.517305135726929,22552.0,"[0,1,2,3,4,19,33,42,43]","[18,24,42,44,47,69,82,83,95,97]",1.0430689239467303,"{""0"":1.0079036723247368,""1"":0.9874969494056949,""2"":1.0144845014315245,""3"":1.0335702307635108,""4"":1.0025561619843246,""19"":-0.02103377415144578,""33"":0.011895918295277133,""42"":-0.013897038129614486,""43"":-0.03412544582989835}",67.77573241666805,1.6493946989776378,10.396483643004938,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
26,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,9,15,0.15,300.0,0.0001,OPTIMAL,True,0.5588661953834801,0.5588661953834801,0.0,48.067562103271484,124891.0,"[0,1,2,3,4,33,38,43,44]","[2,6,18,21,24,42,44,47,65,69,73,82,83,95,97]",1.0546979024034884,"{""0"":1.0088085503129172,""1"":0.9725606216159303,""2"":1.0206126804146496,""3"":1.0142533719072662,""4"":0.9919665941233161,""33"":0.03021343278227932,""38"":-0.012466807517235983,""43"":-0.030816652122335222,""44"":-0.01986768304205944}",55.88661953834663,1.645993018205763,10.404868579532328,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
27,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_3.dat,vertical_outliers,100,49,9,20,0.20,300.0,0.0001,TIME_LIMIT,False,0.4780076061255869,0.4412811310916775,0.07683240719031627,300.0106461048126,677473.0,"[0,1,2,3,4,33,38,43,44]","[1,2,3,4,6,18,21,24,42,44,46,47,65,69,73,75,82,83,95,97]",1.054697902403488,"{""0"":1.0088085503129178,""1"":0.9725606216159315,""2"":1.0206126804146323,""3"":1.0142533719072655,""4"":0.9919665941233162,""33"":0.03021343278227922,""38"":-0.012466807517236299,""43"":-0.030816652122334035,""44"":-0.019867683042060703}",47.80076061256071,1.6459930182057667,10.404868579532344,"[0,1,2,3,4]","[18,24,42,44,47,69,82,83,95,97]",
28,D,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,5,15,0.10,300.0,0.0001,OPTIMAL,True,0.7497559303153096,0.7497559303153096,0.0,1.59291410446167,346.0,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,87,107]",-2.4653113748050957,"{""0"":1.001841824776592,""1"":0.9947606617615925,""2"":1.003715402792132,""3"":1.0023844779337538,""4"":1.002431379938346}",112.46338954729848,1.7679410082167268,11.765427604996212,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
29,D,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,5,23,0.15,300.0,0.0001,OPTIMAL,True,0.5889899837227546,0.5889899837227546,0.0,1.3453240394592285,560.0,"[0,1,2,3,4]","[8,10,12,15,18,19,33,39,44,45,49,50,65,69,70,72,74,77,85,87,106,107,131]",-2.466369841555548,"{""0"":0.9975460446369563,""1"":0.984650554059971,""2"":0.9963847054538912,""3"":1.0010640004861127,""4"":1.0033505695771037}",88.3484975584153,1.7679149778229188,11.76599312224243,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
30,D,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,5,30,0.20,300.0,0.0001,OPTIMAL,True,0.5054926258554637,0.5054926258554637,0.0,3.2862508296966553,6162.0,"[0,1,2,3,4]","[3,8,10,12,15,18,19,21,23,33,39,44,45,49,50,59,62,65,69,70,72,74,77,83,85,87,106,107,130,131]",-2.4663698415555473,"{""0"":0.9975460446369567,""1"":0.9846505540599707,""2"":0.9963847054538912,""3"":1.0010640004861127,""4"":1.0033505695771034}",75.82389387832072,1.767914977822919,11.76599312224243,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
31,D,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,7,15,0.10,300.0,0.0001,OPTIMAL,True,0.7466838558217113,0.7466838558217113,0.0,13.546900033950806,9771.0,"[0,1,2,3,4,6,11]","[8,10,12,19,33,39,45,50,65,69,72,74,77,87,107]",-2.4667841512098487,"{""0"":1.0039780168748367,""1"":1.0013769978706224,""2"":1.0039488363895857,""3"":1.0030967422459065,""4"":1.004304683028739,""6"":-0.011096061080954624,""11"":0.012729815065896351}",112.00257837325857,1.764913307276149,11.763128794883935,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
32,D,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,7,23,0.15,300.0,0.0001,OPTIMAL,True,0.5857750326582902,0.5857750326582902,0.0,49.47269105911255,65076.0,"[0,1,2,3,4,5,14]","[3,8,10,12,15,18,19,33,39,44,45,49,50,65,69,70,72,74,77,85,87,107,131]",-2.4603020050674487,"{""0"":1.001239648784324,""1"":0.9792839342335733,""2"":0.9994484388385818,""3"":1.0009825902514706,""4"":1.0038643519671984,""5"":0.016761683521569454,""14"":0.006340905713760574}",87.86625489874567,1.7652497152377427,11.771409207847194,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
33,D,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,7,30,0.20,300.0,0.0001,OPTIMAL,True,0.5020660950525695,0.5020660950525695,0.0,210.66230487823486,547544.0,"[0,1,2,3,4,5,14]","[3,8,10,12,15,18,19,21,23,33,39,44,45,49,50,59,62,65,69,70,72,74,77,83,85,87,106,107,130,131]",-2.460629716568284,"{""0"":1.0009093934107263,""1"":0.978818419037367,""2"":0.9994095471794407,""3"":1.000833156509708,""4"":1.0043109695529375,""5"":0.01653337539616644,""14"":0.0062661345664691}",75.30991425788619,1.7652662903909473,11.771300097348403,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
34,D,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,9,15,0.10,300.0,0.0001,OPTIMAL,True,0.7419099476012718,0.7419099476012718,0.0,52.07705211639404,150688.0,"[0,1,2,3,4,11,23,24,43]","[8,10,12,19,33,39,45,50,65,69,72,74,77,87,107]",-2.455882727619248,"{""0"":1.0037446373275525,""1"":0.9926624694332218,""2"":1.0037798557227944,""3"":1.000023933894653,""4"":1.0063675663708846,""11"":0.017561240605067828,""23"":-0.013934276921055066,""24"":-0.012870726946216646,""43"":0.018029435858232107}",111.2864921401918,1.7607442359759489,11.775966600498753,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
35,D,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,9,23,0.15,300.0,0.0001,TIME_LIMIT,False,0.5811540520227112,0.5741047254931644,0.012129875899534008,300.02359104156494,846922.0,"[0,1,2,3,4,11,23,24,43]","[8,10,12,15,18,19,33,39,44,45,49,50,65,69,70,72,74,77,85,87,106,107,131]",-2.4558827276192474,"{""0"":1.003744637327552,""1"":0.9926624694332207,""2"":1.0037798557227946,""3"":1.0000239338946528,""4"":1.0063675663708849,""11"":0.017561240605067693,""23"":-0.013934276921055363,""24"":-0.012870726946216587,""43"":0.018029435858231503}",87.17310780340767,1.7607442359759489,11.775966600498757,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
36,D,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,9,30,0.20,300.0,0.0001,TIME_LIMIT,False,0.49785693221699034,0.4770200783510609,0.041853095774204686,300.0345621109009,512749.0,"[0,1,2,3,4,5,11,15,24]","[3,8,10,12,15,18,19,21,23,33,39,44,45,49,50,59,62,65,69,70,72,74,77,83,85,87,106,107,130,131]",-2.461361156666893,"{""0"":1.000133589241578,""1"":0.9756928617131306,""2"":1.002829948512369,""3"":1.0091593156373222,""4"":1.0098022114863248,""5"":0.011544661109301328,""11"":0.015939581342074113,""15"":0.0105660750786856,""24"":-0.012080814222293589}",74.67853983254948,1.7603948630621584,11.761662879876972,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
